prop_comfortable,prop_okay,prop_just,prop_difficult,location,label,population_name,metric_type,housing_tenure
0.47,0.23,0.08,0.22,89,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.28,0.27,0.16,0.29,95,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.26,0.28,0.16,0.31,97,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.39,0.24,0.13,0.25,99,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.42,0.23,0.12,0.23,107,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.26,0.28,0.16,0.3,111,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.31,0.24,0.12,0.33,113,rentstock_11_3_No_TCC,NA,No_TCC,rentstock
0.59,0.22,0.08,0.12,1,mortstock_11_3_TCC,NA,TCC,mortstock
0.46,0.22,0.13,0.19,7,mortstock_11_3_TCC,NA,TCC,mortstock
0.54,0.22,0.1,0.14,13,mortstock_11_3_TCC,NA,TCC,mortstock
0.48,0.23,0.14,0.16,17,mortstock_11_3_TCC,NA,TCC,mortstock
0.41,0.23,0.12,0.24,19,mortstock_11_3_TCC,NA,TCC,mortstock
0.35,0.25,0.14,0.25,23,mortstock_11_3_TCC,NA,TCC,mortstock
0.29,0.18,0.19,0.33,25,mortstock_11_3_TCC,NA,TCC,mortstock
0.37,0.23,0.12,0.28,29,mortstock_11_3_TCC,NA,TCC,mortstock
0.36,0.24,0.15,0.25,31,mortstock_11_3_TCC,NA,TCC,mortstock
0.44,0.23,0.12,0.21,37,mortstock_11_3_TCC,NA,TCC,mortstock
0.34,0.2,0.16,0.3,39,mortstock_11_3_TCC,NA,TCC,mortstock
0.62,0.18,0.08,0.11,41,mortstock_11_3_TCC,NA,TCC,mortstock
0.29,0.18,0.15,0.38,47,mortstock_11_3_TCC,NA,TCC,mortstock
0.48,0.25,0.12,0.15,55,mortstock_11_3_TCC,NA,TCC,mortstock
0.48,0.24,0.11,0.16,59,mortstock_11_3_TCC,NA,TCC,mortstock
0.47,0.24,0.12,0.16,61,mortstock_11_3_TCC,NA,TCC,mortstock
0.36,0.25,0.15,0.24,65,mortstock_11_3_TCC,NA,TCC,mortstock
0.46,0.26,0.11,0.17,67,mortstock_11_3_TCC,NA,TCC,mortstock
0.35,0.26,0.14,0.25,71,mortstock_11_3_TCC,NA,TCC,mortstock
0.46,0.25,0.12,0.17,73,mortstock_11_3_TCC,NA,TCC,mortstock
0.72,0.13,0.06,0.1,75,mortstock_11_3_TCC,NA,TCC,mortstock
0.39,0.28,0.12,0.2,77,mortstock_11_3_TCC,NA,TCC,mortstock
0.41,0.29,0.09,0.21,79,mortstock_11_3_TCC,NA,TCC,mortstock
0.62,0.18,0.09,0.12,81,mortstock_11_3_TCC,NA,TCC,mortstock
0.45,0.21,0.14,0.19,83,mortstock_11_3_TCC,NA,TCC,mortstock
0.63,0.19,0.07,0.11,85,mortstock_11_3_TCC,NA,TCC,mortstock
0.51,0.22,0.08,0.18,87,mortstock_11_3_TCC,NA,TCC,mortstock
0.41,0.25,0.15,0.19,89,mortstock_11_3_TCC,NA,TCC,mortstock
0.44,0.27,0.12,0.17,95,mortstock_11_3_TCC,NA,TCC,mortstock
0.49,0.25,0.11,0.15,97,mortstock_11_3_TCC,NA,TCC,mortstock
0.38,0.23,0.16,0.23,99,mortstock_11_3_TCC,NA,TCC,mortstock
0.32,0.26,0.16,0.26,107,mortstock_11_3_TCC,NA,TCC,mortstock
0.43,0.26,0.13,0.18,111,mortstock_11_3_TCC,NA,TCC,mortstock
0.53,0.23,0.09,0.15,113,mortstock_11_3_TCC,NA,TCC,mortstock
0.67,0.17,0.07,0.09,1,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.65,0.19,0.08,0.08,7,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.64,0.19,0.07,0.1,13,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.61,0.19,0.1,0.1,17,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.64,0.2,0.07,0.1,19,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.5,0.29,0.08,0.13,23,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.63,0.18,0.1,0.09,25,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.64,0.19,0.06,0.11,29,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.66,0.2,0.05,0.08,31,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.55,0.2,0.1,0.15,37,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.61,0.2,0.07,0.13,39,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.66,0.17,0.07,0.1,41,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.54,0.22,0.09,0.15,47,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.56,0.24,0.07,0.12,55,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.59,0.2,0.09,0.12,59,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.62,0.2,0.09,0.09,61,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.56,0.21,0.1,0.13,65,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.62,0.21,0.08,0.1,67,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.57,0.21,0.09,0.13,71,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.56,0.22,0.1,0.12,73,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.69,0.18,0.05,0.09,75,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.64,0.18,0.09,0.09,77,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.53,0.24,0.07,0.16,79,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.68,0.15,0.06,0.11,81,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.57,0.23,0.09,0.11,83,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.71,0.15,0.05,0.08,85,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.59,0.18,0.08,0.15,87,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.58,0.22,0.09,0.11,89,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.6,0.2,0.08,0.11,95,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.61,0.21,0.08,0.1,97,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.59,0.19,0.08,0.14,99,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.66,0.18,0.08,0.08,107,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.58,0.22,0.08,0.12,111,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.66,0.21,0.04,0.09,113,mortstock_11_3_No_TCC,NA,No_TCC,mortstock
0.47,0.2,0.11,0.22,0,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.07,0.09,0.12,0.72,1,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.62,0.17,0.08,0.14,7,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.16,0.17,0.15,0.52,13,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.35,0.22,0.13,0.3,17,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.74,0.12,0.05,0.09,19,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.55,0.18,0.1,0.18,23,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.86,0.06,0.03,0.05,25,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.7,0.13,0.06,0.11,29,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.83,0.08,0.03,0.06,31,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.13,0.15,0.15,0.57,37,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.67,0.14,0.07,0.12,39,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.05,0.06,0.09,0.8,41,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.68,0.14,0.06,0.12,47,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.15,0.16,0.15,0.54,55,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.16,0.17,0.15,0.51,59,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.27,0.21,0.14,0.37,61,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.44,0.2,0.11,0.24,65,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.41,0.21,0.12,0.25,67,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.53,0.19,0.1,0.19,71,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.15,0.16,0.16,0.53,73,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.04,0.05,0.07,0.85,75,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.52,0.19,0.1,0.19,77,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.11,0.12,0.14,0.63,79,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.05,0.06,0.08,0.81,81,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.14,0.16,0.15,0.55,83,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.06,0.08,0.1,0.76,85,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.09,0.11,0.12,0.68,87,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.71,0.13,0.06,0.1,89,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.34,0.22,0.13,0.31,95,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.17,0.17,0.16,0.5,97,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.68,0.14,0.06,0.12,99,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.88,0.06,0.02,0.04,107,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.23,0.2,0.15,0.42,111,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.26,0.21,0.15,0.38,113,all_mortgage_11_3_White_TCC_400000,White,TCC,all_mortgage 400000
0.35,0.22,0.14,0.29,0,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.07,0.08,0.11,0.75,1,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.46,0.21,0.12,0.22,7,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.14,0.15,0.15,0.56,13,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.28,0.21,0.15,0.36,17,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.59,0.17,0.08,0.15,19,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.36,0.22,0.13,0.28,23,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.72,0.13,0.05,0.1,25,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.55,0.19,0.09,0.17,29,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.68,0.14,0.06,0.12,31,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.11,0.13,0.14,0.62,37,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.51,0.2,0.1,0.19,39,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.05,0.06,0.08,0.82,41,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.53,0.19,0.1,0.19,47,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.12,0.14,0.15,0.59,55,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.13,0.15,0.15,0.56,59,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.22,0.2,0.15,0.43,61,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.34,0.22,0.13,0.31,65,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.31,0.22,0.14,0.32,67,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.42,0.21,0.12,0.26,71,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.12,0.14,0.15,0.59,73,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.03,0.04,0.06,0.87,75,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.42,0.21,0.12,0.26,77,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.09,0.1,0.12,0.69,79,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.04,0.05,0.07,0.83,81,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.11,0.13,0.14,0.61,83,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.05,0.07,0.09,0.78,85,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.08,0.09,0.11,0.72,87,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.54,0.19,0.09,0.17,89,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.26,0.21,0.15,0.38,95,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.14,0.15,0.15,0.55,97,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.56,0.18,0.09,0.17,99,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.74,0.12,0.05,0.09,107,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.18,0.19,0.15,0.48,111,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.2,0.19,0.16,0.45,113,all_mortgage_11_3_White_TCC_300000,White,TCC,all_mortgage 300000
0.26,0.22,0.15,0.37,0,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.06,0.07,0.09,0.78,1,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.32,0.23,0.14,0.31,7,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.11,0.13,0.14,0.61,13,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.22,0.2,0.15,0.42,17,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.46,0.21,0.11,0.22,19,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.24,0.2,0.16,0.4,23,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.55,0.18,0.09,0.17,25,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.42,0.21,0.12,0.25,29,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.52,0.19,0.1,0.19,31,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.09,0.11,0.13,0.67,37,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.38,0.22,0.13,0.28,39,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.04,0.05,0.07,0.84,41,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.4,0.21,0.12,0.26,47,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.1,0.12,0.13,0.64,55,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.11,0.13,0.14,0.61,59,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.18,0.18,0.15,0.49,61,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.27,0.21,0.15,0.37,65,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
0.24,0.21,0.15,0.39,67,all_mortgage_11_3_White_TCC_200000,White,TCC,all_mortgage 200000
