prop_comfortable,prop_okay,prop_just,prop_difficult,location,label,population_name,metric_type,housing_tenure
0.02,0.04,0.06,0.88,65,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0.02,0.03,0.06,0.9,67,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0.03,0.05,0.08,0.85,71,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0,0.02,0.02,0.97,73,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0,0,0,1,75,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0.03,0.05,0.08,0.84,77,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0,0.01,0.01,0.98,79,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0,0,0,1,81,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0,0.01,0.01,0.97,83,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0,0,0.01,0.99,85,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0,0,0.02,0.98,87,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0.04,0.07,0.1,0.79,89,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0.01,0.02,0.04,0.92,95,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0,0.02,0.02,0.96,97,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0.05,0.09,0.12,0.75,99,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0.09,0.14,0.15,0.62,107,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0,0.02,0.03,0.95,111,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0.01,0.01,0.03,0.95,113,all_mortgage_11_3_NoCollegeComp_No_TCC_200000,NoCollegeComp,No_TCC,all_mortgage 200000
0.01,0.02,0.04,0.92,0,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0,0,0.01,0.99,1,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.02,0.03,0.06,0.9,7,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0,0.01,0.01,0.97,13,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.01,0.02,0.03,0.94,17,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.03,0.06,0.09,0.83,19,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.01,0.02,0.03,0.93,23,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.04,0.08,0.11,0.77,25,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.02,0.05,0.08,0.85,29,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.04,0.07,0.11,0.78,31,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0,0.01,0.01,0.98,37,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.02,0.04,0.06,0.88,39,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0,0,0,1,41,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.02,0.04,0.07,0.86,47,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0,0.01,0.01,0.98,55,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0,0.01,0.01,0.97,59,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0,0.02,0.02,0.95,61,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.01,0.03,0.05,0.91,65,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.01,0.02,0.04,0.93,67,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.02,0.03,0.06,0.89,71,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0,0.01,0.01,0.98,73,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0,0,0,1,75,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.02,0.03,0.06,0.89,77,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0,0.01,0.01,0.98,79,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0,0,0,1,81,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0,0.01,0.01,0.98,83,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0,0,0.01,0.99,85,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0,0,0.01,0.99,87,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.02,0.04,0.07,0.87,89,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.01,0.01,0.03,0.95,95,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0,0.01,0.01,0.97,97,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.03,0.06,0.09,0.82,99,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.05,0.09,0.12,0.75,107,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0,0.02,0.02,0.96,111,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0,0.02,0.02,0.96,113,all_mortgage_11_3_NoCollegeComp_No_TCC_100000,NoCollegeComp,No_TCC,all_mortgage 100000
0.3,0.21,0.14,0.35,0,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.05,0.07,0.09,0.79,1,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.4,0.21,0.12,0.27,7,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.11,0.14,0.14,0.62,13,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.25,0.2,0.15,0.4,17,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.55,0.18,0.09,0.18,19,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.3,0.21,0.14,0.35,23,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.68,0.13,0.06,0.12,25,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.51,0.19,0.1,0.2,29,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.65,0.15,0.07,0.14,31,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.08,0.11,0.13,0.68,37,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.46,0.19,0.11,0.24,39,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.04,0.04,0.07,0.85,41,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.49,0.19,0.11,0.22,47,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.09,0.12,0.13,0.65,55,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.1,0.14,0.14,0.62,59,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.19,0.18,0.15,0.48,61,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.31,0.21,0.14,0.35,65,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.27,0.21,0.14,0.37,67,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.37,0.21,0.12,0.3,71,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.09,0.13,0.14,0.65,73,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.03,0.03,0.05,0.89,75,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.37,0.21,0.12,0.3,77,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.06,0.08,0.11,0.75,79,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.04,0.04,0.07,0.85,81,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.08,0.11,0.13,0.67,83,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.04,0.06,0.08,0.82,85,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.06,0.08,0.1,0.76,87,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.5,0.19,0.1,0.21,89,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.22,0.2,0.15,0.43,95,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.11,0.14,0.14,0.61,97,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.52,0.18,0.1,0.2,99,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.72,0.12,0.06,0.1,107,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.15,0.17,0.15,0.53,111,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.16,0.17,0.15,0.51,113,all_mortgage_11_3_Kids_TCC_400000,Kids,TCC,all_mortgage 400000
0.23,0.2,0.15,0.42,0,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.04,0.06,0.09,0.81,1,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.3,0.21,0.14,0.35,7,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.09,0.13,0.13,0.65,13,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.21,0.19,0.15,0.45,17,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.43,0.2,0.11,0.25,19,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.2,0.19,0.15,0.46,23,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.53,0.18,0.09,0.19,25,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.39,0.21,0.12,0.28,29,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.5,0.19,0.1,0.21,31,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.07,0.1,0.12,0.72,37,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.35,0.2,0.13,0.32,39,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.03,0.04,0.06,0.87,41,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.37,0.21,0.12,0.3,47,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.08,0.11,0.12,0.69,55,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.09,0.12,0.13,0.66,59,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.16,0.17,0.14,0.53,61,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.25,0.2,0.15,0.41,65,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.22,0.2,0.15,0.44,67,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.3,0.21,0.14,0.36,71,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.08,0.11,0.13,0.69,73,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.02,0.03,0.04,0.91,75,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.3,0.2,0.14,0.35,77,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.05,0.06,0.09,0.79,79,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.03,0.04,0.06,0.88,81,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.07,0.1,0.12,0.72,83,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.04,0.05,0.08,0.83,85,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.05,0.07,0.1,0.79,87,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.37,0.21,0.12,0.29,89,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.18,0.18,0.15,0.49,95,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.09,0.12,0.13,0.65,97,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.42,0.2,0.11,0.26,99,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.57,0.17,0.09,0.17,107,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.13,0.15,0.14,0.58,111,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.13,0.15,0.15,0.57,113,all_mortgage_11_3_Kids_TCC_300000,Kids,TCC,all_mortgage 300000
0.18,0.18,0.15,0.48,0,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.04,0.05,0.08,0.84,1,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.22,0.2,0.15,0.43,7,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.08,0.11,0.13,0.68,13,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.17,0.18,0.15,0.51,17,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.34,0.21,0.13,0.32,19,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.14,0.16,0.15,0.56,23,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.4,0.21,0.12,0.27,25,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.3,0.21,0.14,0.35,29,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.39,0.21,0.12,0.28,31,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.06,0.08,0.11,0.75,37,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.26,0.2,0.14,0.4,39,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.03,0.03,0.05,0.89,41,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.29,0.21,0.14,0.37,47,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.07,0.09,0.11,0.73,55,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.08,0.11,0.12,0.69,59,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.13,0.16,0.14,0.57,61,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.2,0.19,0.15,0.46,65,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.17,0.18,0.15,0.5,67,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.24,0.2,0.15,0.42,71,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.07,0.09,0.12,0.72,73,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.02,0.03,0.04,0.91,75,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.24,0.2,0.15,0.41,77,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.04,0.05,0.08,0.82,79,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.03,0.03,0.05,0.88,81,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.06,0.08,0.11,0.75,83,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.03,0.04,0.07,0.85,85,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.04,0.05,0.08,0.82,87,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.28,0.21,0.14,0.37,89,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.14,0.16,0.15,0.55,95,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.08,0.11,0.12,0.69,97,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.34,0.21,0.13,0.32,99,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.44,0.2,0.11,0.24,107,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.1,0.14,0.14,0.62,111,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.1,0.13,0.14,0.62,113,all_mortgage_11_3_Kids_TCC_200000,Kids,TCC,all_mortgage 200000
0.14,0.16,0.15,0.55,0,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.04,0.04,0.07,0.85,1,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.16,0.18,0.15,0.51,7,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.07,0.09,0.12,0.73,13,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.13,0.15,0.15,0.57,17,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.26,0.21,0.14,0.39,19,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.1,0.13,0.14,0.64,23,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.3,0.21,0.14,0.35,25,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.23,0.2,0.15,0.42,29,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.29,0.21,0.14,0.36,31,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.05,0.06,0.09,0.79,37,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.2,0.18,0.15,0.47,39,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.03,0.03,0.05,0.9,41,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.22,0.19,0.15,0.44,47,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.06,0.07,0.1,0.77,55,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.06,0.09,0.11,0.74,59,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.1,0.13,0.14,0.63,61,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.16,0.17,0.15,0.52,65,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.13,0.16,0.15,0.56,67,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.19,0.19,0.15,0.48,71,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.06,0.07,0.1,0.77,73,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.02,0.03,0.04,0.92,75,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.2,0.19,0.15,0.47,77,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.04,0.04,0.06,0.86,79,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.03,0.03,0.05,0.89,81,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.05,0.06,0.09,0.8,83,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.03,0.04,0.06,0.87,85,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.04,0.05,0.08,0.84,87,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.21,0.2,0.15,0.44,89,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.11,0.14,0.14,0.61,95,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.06,0.09,0.11,0.74,97,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.28,0.2,0.14,0.38,99,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.34,0.21,0.13,0.32,107,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.08,0.12,0.13,0.68,111,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.08,0.11,0.12,0.69,113,all_mortgage_11_3_Kids_TCC_100000,Kids,TCC,all_mortgage 100000
0.09,0.12,0.14,0.65,0,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.01,0.02,0.03,0.94,1,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.14,0.16,0.15,0.54,7,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.03,0.04,0.06,0.87,13,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.07,0.1,0.12,0.7,17,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.25,0.2,0.15,0.4,19,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.09,0.12,0.13,0.66,23,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.39,0.21,0.12,0.28,25,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.21,0.19,0.15,0.44,29,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.34,0.21,0.13,0.32,31,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.02,0.03,0.04,0.9,37,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.18,0.18,0.15,0.5,39,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0,0.02,0.02,0.96,41,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.2,0.19,0.15,0.47,47,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.03,0.04,0.05,0.89,55,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.03,0.04,0.06,0.87,59,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.05,0.07,0.1,0.77,61,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.09,0.13,0.13,0.65,65,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.08,0.11,0.13,0.68,67,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.12,0.15,0.14,0.58,71,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.03,0.03,0.05,0.89,73,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0,0.02,0.02,0.97,75,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.13,0.15,0.14,0.58,77,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.02,0.02,0.03,0.93,79,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0,0.02,0.02,0.96,81,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.02,0.03,0.04,0.9,83,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0,0.03,0.02,0.95,85,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.01,0.03,0.03,0.93,87,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.2,0.19,0.15,0.45,89,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.06,0.09,0.11,0.74,95,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.03,0.04,0.06,0.86,97,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.23,0.19,0.15,0.43,99,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.44,0.2,0.11,0.25,107,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
0.04,0.06,0.09,0.81,111,all_mortgage_11_3_Kids_No_TCC_400000,Kids,No_TCC,all_mortgage 400000
